Resumo
Sequencia;e6 d3 f7 c2 d5 b1 c6 e4 e8 f3 a4 d1 b3 h5 c4 g6 g8 f5 f7 h7 e6 g6 d5 f5 c6 e4 b7 d5 a7 e6 a8 d5 a7 e6 a6 e5 a7 e6 a8 d5 a7 e6 a8 d5 a7 e6 a8 d5 a7 e6 a6 d5 b5 d4 b4 d3 a2 c2 a3 b1
Total de acoes;60
Capturas A;8
Capturas V;8
Vencedor;draw

acao;jogador;jogada;tipo;legais;capturas_A;capturas_V;A_pos;V_pos;A_dentro;V_dentro;A_peca;V_peca;tabuleiro
11;A;a4;capture;6;4;3;(4, 0);(5, 5);True;True;B;B; Dp   pP/  p p pp/   p pp /P p  pCp/ACp  p P/ pp pV  /pp p p  /P  p pD 
12;V;d1;capture;7;4;4;(4, 0);(7, 3);True;True;B;B; Dp   pP/  p p pp/   p pp /P p  pCp/ACp  p P/ pp p   /pp p p  /P  V pD 
13;A;b3;capture;3;5;4;(5, 1);(7, 3);True;True;B;B; Dp   pP/  p p pp/   p pp /P p  pCp/ Cp  p P/ Ap p   /pp p p  /P  V pD 
14;V;h5;capture;4;5;5;(5, 1);(3, 7);True;True;B;B; Dp   pP/  p p pp/   p pp /P p  pCV/ Cp  p P/ Ap p   /pp p p  /P    pD 
15;A;c4;capture;5;6;5;(4, 2);(3, 7);True;True;B;B; Dp   pP/  p p pp/   p pp /P p  pCV/ CA  p P/  p p   /pp p p  /P    pD 
16;V;g6;capture;3;6;6;(4, 2);(2, 6);True;True;B;B; Dp   pP/  p p pp/   p pV /P p  pC / CA  p P/  p p   /pp p p  /P    pD 
17;A;g8;capture;8;7;6;(0, 6);(2, 6);True;True;B;B; Dp   AP/  p p pp/   p pV /P p  pC / C   p P/  p p   /pp p p  /P    pD 
18;V;f5;capture;3;7;7;(0, 6);(3, 5);True;True;B;B; Dp   AP/  p p pp/   p p  /P p  VC / C   p P/  p p   /pp p p  /P    pD 
19;A;f7;exit;4;7;7;(1, 5);(3, 5);False;True;;B; Dp   PP/  p pApp/   p p  /P p  VC / C   p P/  p p   /pp p p  /P    pD 
20;V;h7;capture;5;7;8;(1, 5);(1, 7);False;True;;B; Dp   PP/  p pApV/   p p  /P p   C / C   p P/  p p   /pp p p  /P    pD 
21;A;e6;king;3;7;8;(2, 4);(1, 7);False;True;;B; Dp   PP/  p p pV/   pAp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
22;V;g6;exit;2;7;8;(2, 4);(2, 6);False;False;;; Dp   PP/  p p pP/   pApV /P p   C / C   p P/  p p   /pp p p  /P    pD 
23;A;d5;king;3;7;8;(3, 3);(2, 6);False;False;;; Dp   PP/  p p pP/   p pV /P pA  C / C   p P/  p p   /pp p p  /P    pD 
24;V;f5;king;5;7;8;(3, 3);(3, 5);False;False;;; Dp   PP/  p p pP/   p p  /P pA VC / C   p P/  p p   /pp p p  /P    pD 
25;A;c6;king;3;7;8;(2, 2);(3, 5);False;False;;; Dp   PP/  p p pP/  Ap p  /P p  VC / C   p P/  p p   /pp p p  /P    pD 
26;V;e4;king;6;7;8;(2, 2);(4, 4);False;False;;; Dp   PP/  p p pP/  Ap p  /P p   C / C  Vp P/  p p   /pp p p  /P    pD 
27;A;b7;king;4;7;8;(1, 1);(4, 4);False;False;;; Dp   PP/ Ap p pP/   p p  /P p   C / C  Vp P/  p p   /pp p p  /P    pD 
28;V;d5;king;6;7;8;(1, 1);(3, 3);False;False;;; Dp   PP/ Ap p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
29;A;a7;king;5;7;8;(1, 0);(3, 3);False;False;;; Dp   PP/A p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
30;V;e6;king;6;7;8;(1, 0);(2, 4);False;False;;; Dp   PP/A p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
31;A;a8;king;5;7;8;(0, 0);(2, 4);False;False;;;ADp   PP/  p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
32;V;d5;king;5;7;8;(0, 0);(3, 3);False;False;;;ADp   PP/  p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
33;A;a7;king;3;7;8;(1, 0);(3, 3);False;False;;; Dp   PP/A p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
34;V;e6;king;6;7;8;(1, 0);(2, 4);False;False;;; Dp   PP/A p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
35;A;a6;king;5;7;8;(2, 0);(2, 4);False;False;;; Dp   PP/  p p pP/A  pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
36;V;e5;king;5;7;8;(2, 0);(3, 4);False;False;;; Dp   PP/  p p pP/A  p p  /P p V C / C   p P/  p p   /pp p p  /P    pD 
37;A;a7;king;4;7;8;(1, 0);(3, 4);False;False;;; Dp   PP/A p p pP/   p p  /P p V C / C   p P/  p p   /pp p p  /P    pD 
38;V;e6;king;5;7;8;(1, 0);(2, 4);False;False;;; Dp   PP/A p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
39;A;a8;king;5;7;8;(0, 0);(2, 4);False;False;;;ADp   PP/  p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
40;V;d5;king;5;7;8;(0, 0);(3, 3);False;False;;;ADp   PP/  p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
41;A;a7;king;3;7;8;(1, 0);(3, 3);False;False;;; Dp   PP/A p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
42;V;e6;king;6;7;8;(1, 0);(2, 4);False;False;;; Dp   PP/A p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
43;A;a8;king;5;7;8;(0, 0);(2, 4);False;False;;;ADp   PP/  p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
44;V;d5;king;5;7;8;(0, 0);(3, 3);False;False;;;ADp   PP/  p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
45;A;a7;king;3;7;8;(1, 0);(3, 3);False;False;;; Dp   PP/A p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
46;V;e6;king;6;7;8;(1, 0);(2, 4);False;False;;; Dp   PP/A p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
47;A;a8;king;5;7;8;(0, 0);(2, 4);False;False;;;ADp   PP/  p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
48;V;d5;king;5;7;8;(0, 0);(3, 3);False;False;;;ADp   PP/  p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
49;A;a7;king;3;7;8;(1, 0);(3, 3);False;False;;; Dp   PP/A p p pP/   p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
50;V;e6;king;6;7;8;(1, 0);(2, 4);False;False;;; Dp   PP/A p p pP/   pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
51;A;a6;king;5;7;8;(2, 0);(2, 4);False;False;;; Dp   PP/  p p pP/A  pVp  /P p   C / C   p P/  p p   /pp p p  /P    pD 
52;V;d5;king;5;7;8;(2, 0);(3, 3);False;False;;; Dp   PP/  p p pP/A  p p  /P pV  C / C   p P/  p p   /pp p p  /P    pD 
53;A;b5;king;4;7;8;(3, 1);(3, 3);False;False;;; Dp   PP/  p p pP/   p p  /PApV  C / C   p P/  p p   /pp p p  /P    pD 
54;V;d4;king;4;7;8;(3, 1);(4, 3);False;False;;; Dp   PP/  p p pP/   p p  /PAp   C / C V p P/  p p   /pp p p  /P    pD 
55;A;b4;king;5;7;8;(4, 1);(4, 3);True;False;C;; Dp   PP/  p p pP/   p p  /P p   C / A V p P/  p p   /pp p p  /P    pD 
56;V;d3;king;4;7;8;(4, 1);(5, 3);True;False;C;; Dp   PP/  p p pP/   p p  /P p   C / A   p P/  pVp   /pp p p  /P    pD 
57;A;a2;capture;5;8;8;(6, 0);(5, 3);True;False;C;; Dp   PP/  p p pP/   p p  /P p   C /     p P/  pVp   /Ap p p  /P    pD 
58;V;c2;king;5;8;8;(6, 0);(6, 2);True;False;C;; Dp   PP/  p p pP/   p p  /P p   C /     p P/  p p   /ApVp p  /P    pD 
59;A;a3;exit;1;8;8;(5, 0);(6, 2);False;False;;; Dp   PP/  p p pP/   p p  /P p   C /     p P/A p p   /PpVp p  /P    pD 
60;V;b1;king;4;8;8;(5, 0);(7, 1);False;False;;; Dp   PP/  p p pP/   p p  /P p   C /     p P/A p p   /Pp p p  /PV   pD 
